参数,符号,单位,允许范围或候选集,本研究冻结值,依据等级,依据与取值理由,敏感性/决策后果,更新条件,论文标签
容量高斯噪声,sigma_Q,% of Q_nom,0.2--1.0,0.6,L2_OBSERVATION_ASSUMPTION,加性高斯仅为基础测量误差模型；数值未由仪器重复性标定,影响 SOH 特征与短期预测误差,用重复容量测试估计仪器与协议方差,ASSUMED_UPDATEABLE
内阻高斯噪声,sigma_R,% of R_true,0.5--3.0,1.5,L2_OBSERVATION_ASSUMPTION,乘性尺度高斯仅为基础测量误差模型；数值未标定,影响内阻增长筛选和组内一致性,用重复 DCIR/EIS 测试估计,ASSUMED_UPDATEABLE
电芯个体差异,sigma_cell,relative SD,0.03--0.10,0.05,L2_POPULATION_ASSUMPTION,截断正态用于避免非物理尾部；分布和标准差均未实测拟合,影响事件数/删失率/筛选可行性,取得同批次重复电芯后比较正态/偏态/混合分布,ASSUMED_UPDATEABLE
RPT 周期,rpt_period,cycle,"0,25,50","none=0; light=50; heavy=25",L2_OBSERVATION_STRESS,RPT 周期仅用于冻结仿真压力档；不是候选真实数据的协议识别结果,改变近期斜率与退役快照观测,核验数据源测试协议或识别 RPT 标记后替换,ASSUMED_UPDATEABLE
容量恢复脉冲,a_Q,%,"0,0.4,1.0","none=0; light=0.4; heavy=1.0",L2_OBSERVATION_STRESS,无/轻/重三档压力假设；不称真实恢复幅度,影响模型 RMSE 和入选成员,用相邻 RPT 前后容量差分在训练电芯估计,ASSUMED_UPDATEABLE
内阻恢复脉冲,a_R,%,"0,0.8,2.0","none=0; light=0.8; heavy=2.0",L2_OBSERVATION_STRESS,无/轻/重三档压力假设；不称真实恢复幅度,影响内阻增长门槛和编组成员,用相邻 RPT 前后内阻差分估计,ASSUMED_UPDATEABLE
异常观测比例,p_out,-,"0,0.002,0.005","none=0; light=0.002; heavy=0.005",L2_OBSERVATION_STRESS,稀疏异常压力假设且上限锁定低于 1%,影响局部特征但不改变潜在状态,用仪器质量控制日志估计并区分可剔除错误,ASSUMED_UPDATEABLE
异常幅度,m_out,基础噪声倍数,"0,3,5","none=0; light=3; heavy=5",L2_OBSERVATION_STRESS,异常幅度相对现有测量残差定义,影响预测排序与决策 Jaccard,由重复测量残差分布尾部估计,ASSUMED_UPDATEABLE
SOH 终点,SOH_EOL,-,0.80,0.80,L1_COMMON_DEFINITION,80% 为文献常用寿命定义；本研究作为可调建模终点而非普适安全阈值,决定事件/删失和条件 RUL,采用题目或应用规范终点后全量重跑,ASSUMED_UPDATEABLE
退役时点,t0,cycle,750,750,L2_DECISION_DESIGN,为闭合退役快照与后续追踪而冻结的决策时点,决定风险集和条件 RUL 观察窗,题目指定退役时点或业务台账改变,ASSUMED_UPDATEABLE
最低 SOH,min_soh,-,0.74--0.78,0.76,L2_DECISION_ASSUMPTION,OAT 扫描范围内冻结基准；不是安全标准,影响入选率与最大可行组数,采用规范/检测能力/风险偏好重新设定,ASSUMED_UPDATEABLE
RUL 下界门槛,min_rul_lower,cycle,20--60,40,L2_DECISION_ASSUMPTION,对 90% 下界施加的风险门槛；数值为场景值,影响区间风险筛选和弃权,按目标服务周期与风险容忍度设定,ASSUMED_UPDATEABLE
最大内阻增长,max_R_growth,-,0.40--0.50,0.45,L2_DECISION_ASSUMPTION,OAT 扫描范围内冻结基准；不是安全标准,影响入选率和一致性,按检测协议和应用功率需求设定,ASSUMED_UPDATEABLE
最大 RUL 区间宽度,max_interval_width,cycle,3000,3000,L2_DECISION_ASSUMPTION,只作不确定性筛选门槛且不截断 AFT 原区间,当前决定 INTERVAL_RISK 由 89 芯降至 41 芯,取得校准更好的数据后按覆盖-可行性权衡更新,ASSUMED_UPDATEABLE
编组规模,group_size,cell,4,4,L2_DECISION_DESIGN,模块级最小演示规模；不是实际储能系统拓扑,决定候选组合和 MILP 约束,获得额定电压/功率/容量需求后建立串并联拓扑,ASSUMED_UPDATEABLE
目标组数,target_groups,group,8,8,L2_CAPACITY_TARGET,用于比较固定产能目标与最大可信产能,不可行时触发弃权而非放宽门槛,按任务需求设定；始终同时报告最大可行组数,ASSUMED_UPDATEABLE
目标权重,w,-,四项非负且和为1,"balanced=(0.35,0.25,0.25,0.15)",L2_PREFERENCE_ASSUMPTION,效益/一致性/风险/成本权重为决策偏好而非统计估计,改变选中成员与目标值；仅同归一化口径比较,由决策者偏好或多准则赋权更新,ASSUMED_UPDATEABLE
随机种子,seed,-,"42;123;2026;4096;8110;20260811;20260813",见配置,L2_REPRODUCIBILITY,固定种子用于复现和五种子稳定性扫描,影响具体随机电芯但不应改变验证规则,扩大种子集合并报告分布,CONFIRMED_CONFIG
